Date Last Researched,Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
2023-08-31,Japan,Hohoku nuclear power plant,1,,,1067.0,cancelled,boiling water reactor,unknown,,,,1994.0,,,,,,The Chugoku Electric Power CO INC,,,,,,,34.2903,130.9491,approximate,Hohokucho,Shimonoseki,,Yamaguchi,Eastern Asia,Asia,L500423,G501212,https://gem.wiki/Hohoku_nuclear_power_plant
2023-08-31,Japan,Hohoku nuclear power plant,2,,,1067.0,cancelled,boiling water reactor,unknown,,,,1994.0,,,,,,The Chugoku Electric Power CO INC,,,,,,,34.2903,130.9491,approximate,Hohokucho,Shimonoseki,,Yamaguchi,Eastern Asia,Asia,L500423,G501213,https://gem.wiki/Hohoku_nuclear_power_plant
2023-07-25,Japan,Ikata nuclear power plant,1,,,566.0,retired,pressurized water reactor,M (2-loop),1977.0,2016.0,N,,1973-09-01 00:00:00,1977-01-29 00:00:00,1977-02-17 00:00:00,1977-09-30 00:00:00,2016-05-10 00:00:00,Shikoku Electric Power CO INC,,Shikoku Electric Power CO INC,,538.0,538.0,1650.0,33.4909,132.3088,exact,,Nishi-Uwa County,,,Eastern Asia,Asia,L500146,G500426,https://gem.wiki/Ikata_nuclear_power_plant
2023-07-25,Japan,Ikata nuclear power plant,2,,,566.0,retired,pressurized water reactor,M (2-loop),1982.0,2018.0,N,,1978-08-01 00:00:00,1981-07-31 00:00:00,1981-08-19 00:00:00,1982-03-19 00:00:00,2018-05-23 00:00:00,Shikoku Electric Power CO INC,,Shikoku Electric Power CO INC,,538.0,538.0,1650.0,33.4909,132.3088,exact,,Nishi-Uwa County,,,Eastern Asia,Asia,L500146,G500427,https://gem.wiki/Ikata_nuclear_power_plant
2023-07-25,Japan,Ikata nuclear power plant,3,,,890.0,operating,pressurized water reactor,M (3-loop),1994.0,,,,1990-10-01 00:00:00,1994-02-23 00:00:00,1994-03-29 00:00:00,1994-12-15 00:00:00,,Shikoku Electric Power CO INC,,Shikoku Electric Power CO INC,,846.0,846.0,2660.0,33.4909,132.3088,exact,,Nishi-Uwa County,,,Eastern Asia,Asia,L500146,G500331,https://gem.wiki/Ikata_nuclear_power_plant
2023-07-25,Japan,Japan Power Demonstration Reactor nuclear power plant,,,JPDR,13.0,retired,boiling water reactor,BWR-1,1965.0,1976.0,N,,1960-12-01 00:00:00,1963-08-22 00:00:00,1963-10-26 00:00:00,1965-03-15 00:00:00,1976-03-18 00:00:00,Japan Atomic Energy Agency,,Japan Atomic Energy Agency,,12.0,10.0,90.0,36.4568,140.6059,approximate,,Naka County,,,Eastern Asia,Asia,L500254,G500602,https://gem.wiki/Japan_Power_Demonstration_Reactor_nuclear_power_plant
2023-07-25,Japan,Kaminoseki nuclear power plant,1,,,1373.0,shelved,boiling water reactor,ABWR,,,,,,,,,,Chugoku Electric Power CO,,Chugoku Electric Power CO,,,,,33.8512,132.1182,exact,,Kumage County,,,Eastern Asia,Asia,L500279,G500644,https://gem.wiki/Kaminoseki_nuclear_power_plant
2023-07-25,Japan,Kaminoseki nuclear power plant,2,,,1373.0,shelved,boiling water reactor,ABWR,,,,,,,,,,Chugoku Electric Power CO,,Chugoku Electric Power CO,,,,,33.8512,132.1182,exact,,Kumage County,,,Eastern Asia,Asia,L500279,G500645,https://gem.wiki/Kaminoseki_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,1,,,1100.0,mothballed,boiling water reactor,BWR-5,1985.0,,,,1980-06-05 00:00:00,1984-12-12 00:00:00,1985-02-13 00:00:00,1985-09-18 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1067.0,1067.0,3293.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500139,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,2,,,1100.0,mothballed,boiling water reactor,BWR-5,1990.0,,,,1985-11-18 00:00:00,1989-11-30 00:00:00,1990-02-08 00:00:00,1990-09-28 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1067.0,1067.0,3293.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500141,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,3,,,1100.0,mothballed,boiling water reactor,BWR-5,1993.0,,,,1989-03-07 00:00:00,1992-10-19 00:00:00,1992-12-08 00:00:00,1993-08-11 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1067.0,1067.0,3293.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500143,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,4,,,1100.0,mothballed,boiling water reactor,BWR-5,1994.0,,,,1990-03-05 00:00:00,1993-11-01 00:00:00,1993-12-21 00:00:00,1994-08-11 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1067.0,1067.0,3293.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500144,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,5,,,1100.0,mothballed,boiling water reactor,BWR-5,1990.0,,,,1985-06-20 00:00:00,1989-07-20 00:00:00,1989-09-12 00:00:00,1990-04-10 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1067.0,1067.0,3293.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500142,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,6,,,1356.0,mothballed,boiling water reactor,ABWR,1996.0,,,,1992-11-03 00:00:00,1995-12-18 00:00:00,1996-01-29 00:00:00,1996-11-07 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1315.0,1315.0,3926.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500033,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-07-25,Japan,Kashiwazaki Kariwa nuclear power plant,7,,,1356.0,mothballed,boiling water reactor,ABWR,1997.0,,,,1993-07-01 00:00:00,1996-11-01 00:00:00,1996-12-17 00:00:00,1997-07-02 00:00:00,,Tokyo Electric Power CO,,Tokyo Electric Power CO,,1315.0,1315.0,3926.0,37.4259,138.5941,exact,Kashiwazaki,,,,Eastern Asia,Asia,L500018,G500034,https://gem.wiki/Kashiwazaki_Kariwa_nuclear_power_plant
2023-08-31,Japan,Maki nuclear power plant,1,,,780.0,cancelled,boiling water reactor,unknown,,,,2003.0,,,,,,Tohoku Electric Power CO INC,,,,,,,37.7627,138.9048,exact,Niigata,,,,Eastern Asia,Asia,L500424,G501214,https://gem.wiki/Maki_nuclear_power_plant
2023-08-31,Japan,Maki nuclear power plant,2,,,1067.0,cancelled,boiling water reactor,unknown,,,,2003.0,,,,,,Tohoku Electric Power CO INC,,,,,,,37.7627,138.9048,exact,Niigata,,,,Eastern Asia,Asia,L500424,G501215,https://gem.wiki/Maki_nuclear_power_plant
2023-07-25,Japan,Mihama nuclear power plant,1,,,340.0,retired,pressurized water reactor,WH 2LP,1970.0,2015.0,N,,1967-02-01 00:00:00,1970-07-29 00:00:00,1970-08-08 00:00:00,1970-11-28 00:00:00,2015-04-27 00:00:00,Kansai Electric Power CO,,Kansai Electric Power CO,,320.0,320.0,1031.0,35.7024,135.9634,exact,,Mikata County,,,Eastern Asia,Asia,L500155,G500510,https://gem.wiki/Mihama_nuclear_power_plant
2023-07-25,Japan,Mihama nuclear power plant,2,,,500.0,retired,pressurized water reactor,M (2-loop),1972.0,2015.0,N,,1968-05-29 00:00:00,1972-04-10 00:00:00,1972-04-21 00:00:00,1972-07-25 00:00:00,2015-04-27 00:00:00,Kansai Electric Power CO,,Kansai Electric Power CO,,470.0,470.0,1456.0,35.7024,135.9634,exact,,Mikata County,,,Eastern Asia,Asia,L500155,G500464,https://gem.wiki/Mihama_nuclear_power_plant
2023-07-25,Japan,Mihama nuclear power plant,3,,,826.0,operating,pressurized water reactor,M (3-loop),1976.0,2036.0,Y,,1972-08-07 00:00:00,1976-01-28 00:00:00,1976-02-19 00:00:00,1976-12-01 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,780.0,780.0,2440.0,35.7024,135.9634,exact,,Mikata County,,,Eastern Asia,Asia,L500155,G500360,https://gem.wiki/Mihama_nuclear_power_plant
2023-07-25,Japan,Monju nuclear power plant,,,,280.0,retired,fast breeder reactor,unknown,1995.0,2017.0,N,,1986-05-10 00:00:00,1994-04-05 00:00:00,1995-08-29 00:00:00,,2017-12-05 00:00:00,Japan Atomic Energy Agency,,Japan Atomic Energy Agency,,246.0,246.0,714.0,35.74001,135.9878,exact,Tsuruga,,,,Eastern Asia,Asia,L500224,G500546,https://gem.wiki/Monju_nuclear_power_plant
2023-08-31,Japan,Namie-Odaka nuclear power plant,1,,,825.0,cancelled,advanced boiling water reactor,unknown,,,,2013.0,,,,,,Tohoku Electric Power CO INC,,,,,,,37.5134,141.0342,exact,,Futaba County,,,Eastern Asia,Asia,L500425,G501216,https://gem.wiki/Namie-Odaka_nuclear_power_plant
2023-07-25,Japan,Ohi nuclear power plant,1,,,1175.0,retired,pressurized water reactor,WH 4LP,1979.0,2018.0,N,,1972-10-26 00:00:00,1977-12-02 00:00:00,1977-12-23 00:00:00,1979-03-27 00:00:00,2018-03-01 00:00:00,Kansai Electric Power CO,,Kansai Electric Power CO,,1120.0,1120.0,3423.0,35.5424,135.6544,exact,,Ooi County,,,Eastern Asia,Asia,L500066,G500110,https://gem.wiki/Ohi_nuclear_power_plant
2023-07-25,Japan,Ohi nuclear power plant,2,,,1175.0,retired,pressurized water reactor,WH 4LP,1979.0,2018.0,N,,1972-12-08 00:00:00,1978-09-14 00:00:00,1978-10-11 00:00:00,1979-12-05 00:00:00,2018-03-01 00:00:00,Kansai Electric Power CO,,Kansai Electric Power CO,,1120.0,1120.0,3423.0,35.5424,135.6544,exact,,Ooi County,,,Eastern Asia,Asia,L500066,G500111,https://gem.wiki/Ohi_nuclear_power_plant
2023-07-25,Japan,Ohi nuclear power plant,3,,,1180.0,operating,pressurized water reactor,M (4-loop),1991.0,,,,1987-10-03 00:00:00,1991-05-17 00:00:00,1991-06-07 00:00:00,1991-12-18 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,1127.0,1127.0,3423.0,35.5424,135.6544,exact,,Ooi County,,,Eastern Asia,Asia,L500066,G500112,https://gem.wiki/Ohi_nuclear_power_plant
